,bb_check,score
0,3,1
1,-1,0
2,1,1
3,1,1
4,3,1
5,1,1
6,-5,0
7,1,1
8,1,1
9,1,1
10,1,1
11,-1,0
12,1,1
13,3,1
14,1,1
15,-1,0
16,1,1
17,1,1
18,-3,0
19,-1,0
20,0,1
21,1,1
22,5,1
23,1,1
24,-1,0
25,-1,0
26,3,1
27,1,1
28,5,1
29,3,1
30,3,1
31,-1,0
32,-1,0
33,5,1
34,3,1
35,1,1
36,-1,0
37,3,1
38,3,1
39,3,1
40,-1,0
41,-1,0
42,1,1
43,1,1
44,3,1
45,-1,0
46,1,1
47,3,1
48,3,1
49,5,1
50,3,1
51,-1,0
52,1,1
53,5,1
54,3,1
55,3,1
56,3,1
57,1,1
58,-1,0
59,1,1
60,7,1
61,5,1
62,0,1
63,-2,0
64,-1,0
65,3,1
66,1,1
67,-1,0
68,2,1
69,1,1
70,4,1
71,1,1
72,1,1
73,-1,0
74,4,1
75,3,1
76,3,1
77,3,1
78,1,1
79,-3,0
80,-1,0
81,1,1
82,-1,0
83,-1,0
84,1,1
85,1,1
86,4,1
87,7,1
88,4,1
89,-1,0
90,1,1
91,3,1
92,2,1
93,5,1
94,3,1
95,0,1
96,1,1
97,-4,0
98,5,1
99,0,1
100,5,1
101,5,1
102,1,1
103,1,1
104,-1,0
105,0,1
106,-3,0
107,1,1
108,3,1
109,-1,0
110,-1,0
111,-3,0
112,7,1
113,5,1
114,1,1
115,2,1
116,2,1
117,0,1
118,2,1
119,-1,0
120,3,1
121,3,1
122,3,1
123,5,1
124,2,1
125,-1,0
126,-3,0
127,3,1
128,-1,0
129,1,1
130,6,1
131,-3,0
132,1,1
133,-3,0
134,-1,0
135,1,1
136,7,1
137,3,1
138,3,1
139,1,1
140,-1,0
141,-2,0
142,1,1
143,1,1
144,0,1
145,1,1
146,-1,0
147,-1,0
148,-1,0
149,6,1
150,-1,0
151,1,1
152,4,1
153,4,1
154,5,1
155,5,1
156,1,1
157,-1,0
158,1,1
159,5,1
160,3,1
161,3,1
162,3,1
163,4,1
164,3,1
165,-1,0
166,-1,0
167,1,1
168,3,1
169,-1,0
170,-1,0
171,5,1
172,3,1
173,1,1
174,0,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,0,1
183,-3,0
184,1,1
185,1,1
186,-1,0
187,3,1
188,-3,0
189,4,1
190,2,1
191,3,1
192,-1,0
193,1,1
194,1,1
195,1,1
196,3,1
197,3,1
198,1,1
199,1,1
200,3,1
201,-5,0
202,-1,0
203,3,1
204,4,1
205,2,1
206,7,1
207,3,1
208,1,1
209,5,1
210,1,1
211,1,1
212,-1,0
213,1,1
214,1,1
215,5,1
216,7,1
217,-1,0
218,1,1
219,1,1
220,3,1
221,3,1
222,3,1
223,3,1
224,1,1
225,5,1
226,5,1
227,1,1
228,3,1
229,3,1
230,-1,0
231,1,1
232,1,1
233,-1,0
234,3,1
235,-1,0
236,-3,0
237,-1,0
238,-4,0
239,-1,0
240,-1,0
241,3,1
242,-1,0
243,-1,0
244,-1,0
245,5,1
246,-5,0
247,-3,0
248,3,1
249,1,1
250,-1,0
251,1,1
252,-3,0
253,5,1
254,7,1
255,1,1
256,5,1
257,3,1
258,1,1
259,1,1
260,2,1
261,-3,0
262,-1,0
263,1,1
264,-1,0
265,-1,0
266,-1,0
267,7,1
268,5,1
269,1,1
270,-1,0
271,1,1
272,-1,0
273,-3,0
274,-3,0
275,-1,0
276,3,1
277,-1,0
278,5,1
